"","t","c","N","t2"
"156","2006-09","Classe politique : Gauche",0,2006-09-01
"157","2006-09","CNIL/CSA",0,2006-09-01
"158","2006-09","Conseils/Rapports",0,2006-09-01
"159","2006-09","DRM",2,2006-09-01
"160","2006-09","Exécutif : Ministère",2,2006-09-01
"161","2006-09","Exécutif : PR/PM/GOUV",0,2006-09-01
"162","2006-09","HADOPI/DADVSI/LOPPSI",4,2006-09-01
"163","2006-09","Industrie : Culture",3,2006-09-01
"164","2006-09","Industrie : Info/Web",3,2006-09-01
"165","2006-09","Industrie : Télécom",1,2006-09-01
"166","2006-09","Opposants : Autres",2,2006-09-01
"167","2006-09","Opposants : EUCD/LQDN",0,2006-09-01
"168","2006-09","P2P/DDL",1,2006-09-01
"169","2006-09","Parlement",3,2006-09-01
"170","2006-09","UE/IPRED",0,2006-09-01
"171","2006-10","ACTA/SOPA/PIPA",0,2006-10-01
"172","2006-10","Classe politique : Droite",0,2006-10-01
"173","2006-10","Classe politique : Gauche",0,2006-10-01
"174","2006-10","CNIL/CSA",0,2006-10-01
"175","2006-10","Conseils/Rapports",0,2006-10-01
"176","2006-10","DRM",2,2006-10-01
"177","2006-10","Exécutif : Ministère",0,2006-10-01
"178","2006-10","Exécutif : PR/PM/GOUV",0,2006-10-01
"179","2006-10","HADOPI/DADVSI/LOPPSI",8,2006-10-01
"180","2006-10","Industrie : Culture",7,2006-10-01
"181","2006-10","Industrie : Info/Web",4,2006-10-01
"182","2006-10","Industrie : Télécom",1,2006-10-01
"183","2006-10","Opposants : Autres",0,2006-10-01
"184","2006-10","Opposants : EUCD/LQDN",0,2006-10-01
"185","2006-10","P2P/DDL",0,2006-10-01
"186","2006-10","Parlement",0,2006-10-01
"187","2006-10","UE/IPRED",0,2006-10-01
"188","2006-11","ACTA/SOPA/PIPA",0,2006-11-01
"189","2006-11","Classe politique : Droite",0,2006-11-01
"190","2006-11","Classe politique : Gauche",0,2006-11-01
"191","2006-11","CNIL/CSA",0,2006-11-01
"192","2006-11","Conseils/Rapports",0,2006-11-01
"193","2006-11","DRM",1,2006-11-01
"194","2006-11","Exécutif : Ministère",0,2006-11-01
"195","2006-11","Exécutif : PR/PM/GOUV",0,2006-11-01
"196","2006-11","HADOPI/DADVSI/LOPPSI",1,2006-11-01
"197","2006-11","Industrie : Culture",0,2006-11-01
"198","2006-11","Industrie : Info/Web",0,2006-11-01
"199","2006-11","Industrie : Télécom",0,2006-11-01
"200","2006-11","Opposants : Autres",0,2006-11-01
"201","2006-11","Opposants : EUCD/LQDN",0,2006-11-01
"202","2006-11","P2P/DDL",0,2006-11-01
"203","2006-11","Parlement",0,2006-11-01
"204","2006-11","UE/IPRED",0,2006-11-01
"205","2006-12","ACTA/SOPA/PIPA",0,2006-12-01
"206","2006-12","Classe politique : Droite",2,2006-12-01
"207","2006-12","Classe politique : Gauche",0,2006-12-01
"208","2006-12","CNIL/CSA",0,2006-12-01
"209","2006-12","Conseils/Rapports",0,2006-12-01
"210","2006-12","DRM",3,2006-12-01
"211","2006-12","Exécutif : Ministère",2,2006-12-01
"212","2006-12","Exécutif : PR/PM/GOUV",0,2006-12-01
"213","2006-12","HADOPI/DADVSI/LOPPSI",5,2006-12-01
"214","2006-12","Industrie : Culture",1,2006-12-01
"215","2006-12","Industrie : Info/Web",1,2006-12-01
"216","2006-12","Industrie : Télécom",0,2006-12-01
"217","2006-12","Opposants : Autres",1,2006-12-01
"218","2006-12","Opposants : EUCD/LQDN",0,2006-12-01
"219","2006-12","P2P/DDL",0,2006-12-01
"220","2006-12","Parlement",1,2006-12-01
"221","2006-12","UE/IPRED",1,2006-12-01
"222","2007-01","ACTA/SOPA/PIPA",0,2007-01-01
"223","2007-01","Classe politique : Droite",0,2007-01-01
"224","2007-01","Classe politique : Gauche",0,2007-01-01
"225","2007-01","CNIL/CSA",1,2007-01-01
"226","2007-01","Conseils/Rapports",0,2007-01-01
"227","2007-01","DRM",6,2007-01-01
"228","2007-01","Exécutif : Ministère",0,2007-01-01
"229","2007-01","Exécutif : PR/PM/GOUV",0,2007-01-01
"230","2007-01","HADOPI/DADVSI/LOPPSI",9,2007-01-01
"231","2007-01","Industrie : Culture",4,2007-01-01
"232","2007-01","Industrie : Info/Web",0,2007-01-01
"233","2007-01","Industrie : Télécom",0,2007-01-01
"234","2007-01","Opposants : Autres",2,2007-01-01
"235","2007-01","Opposants : EUCD/LQDN",0,2007-01-01
"236","2007-01","P2P/DDL",2,2007-01-01
"237","2007-01","Parlement",1,2007-01-01
"238","2007-01","UE/IPRED",1,2007-01-01
"239","2007-02","ACTA/SOPA/PIPA",0,2007-02-01
"240","2007-02","Classe politique : Droite",0,2007-02-01
"241","2007-02","Classe politique : Gauche",0,2007-02-01
"242","2007-02","CNIL/CSA",0,2007-02-01
"243","2007-02","Conseils/Rapports",0,2007-02-01
"244","2007-02","DRM",1,2007-02-01
"245","2007-02","Exécutif : Ministère",3,2007-02-01
"246","2007-02","Exécutif : PR/PM/GOUV",0,2007-02-01
"247","2007-02","HADOPI/DADVSI/LOPPSI",4,2007-02-01
"248","2007-02","Industrie : Culture",2,2007-02-01
"249","2007-02","Industrie : Info/Web",1,2007-02-01
"250","2007-02","Industrie : Télécom",0,2007-02-01
"251","2007-02","Opposants : Autres",2,2007-02-01
"252","2007-02","Opposants : EUCD/LQDN",0,2007-02-01
"253","2007-02","P2P/DDL",2,2007-02-01
"254","2007-02","Parlement",0,2007-02-01
"255","2007-02","UE/IPRED",0,2007-02-01
"256","2007-03","ACTA/SOPA/PIPA",0,2007-03-01
"257","2007-03","Classe politique : Droite",0,2007-03-01
"258","2007-03","Classe politique : Gauche",1,2007-03-01
"259","2007-03","CNIL/CSA",0,2007-03-01
"260","2007-03","Conseils/Rapports",0,2007-03-01
"261","2007-03","DRM",2,2007-03-01
"262","2007-03","Exécutif : Ministère",0,2007-03-01
"263","2007-03","Exécutif : PR/PM/GOUV",0,2007-03-01
"264","2007-03","HADOPI/DADVSI/LOPPSI",6,2007-03-01
"265","2007-03","Industrie : Culture",2,2007-03-01
"266","2007-03","Industrie : Info/Web",2,2007-03-01
"267","2007-03","Industrie : Télécom",1,2007-03-01
"268","2007-03","Opposants : Autres",0,2007-03-01
"269","2007-03","Opposants : EUCD/LQDN",0,2007-03-01
"270","2007-03","P2P/DDL",0,2007-03-01
"271","2007-03","Parlement",0,2007-03-01
"272","2007-03","UE/IPRED",0,2007-03-01
"273","2007-04","ACTA/SOPA/PIPA",0,2007-04-01
"274","2007-04","Classe politique : Droite",5,2007-04-01
"275","2007-04","Classe politique : Gauche",6,2007-04-01
"276","2007-04","CNIL/CSA",0,2007-04-01
"277","2007-04","Conseils/Rapports",3,2007-04-01
"278","2007-04","DRM",6,2007-04-01
"279","2007-04","Exécutif : Ministère",3,2007-04-01
"280","2007-04","Exécutif : PR/PM/GOUV",5,2007-04-01
"281","2007-04","HADOPI/DADVSI/LOPPSI",10,2007-04-01
"282","2007-04","Industrie : Culture",5,2007-04-01
"283","2007-04","Industrie : Info/Web",4,2007-04-01
"284","2007-04","Industrie : Télécom",1,2007-04-01
"285","2007-04","Opposants : Autres",3,2007-04-01
"286","2007-04","Opposants : EUCD/LQDN",2,2007-04-01
"287","2007-04","P2P/DDL",0,2007-04-01
"288","2007-04","Parlement",2,2007-04-01
"289","2007-04","UE/IPRED",0,2007-04-01
"290","2007-05","ACTA/SOPA/PIPA",0,2007-05-01
"291","2007-05","Classe politique : Droite",5,2007-05-01
"292","2007-05","Classe politique : Gauche",2,2007-05-01
"293","2007-05","CNIL/CSA",0,2007-05-01
"294","2007-05","Conseils/Rapports",1,2007-05-01
"295","2007-05","DRM",4,2007-05-01
"296","2007-05","Exécutif : Ministère",6,2007-05-01
"297","2007-05","Exécutif : PR/PM/GOUV",8,2007-05-01
"298","2007-05","HADOPI/DADVSI/LOPPSI",8,2007-05-01
"299","2007-05","Industrie : Culture",0,2007-05-01
"300","2007-05","Industrie : Info/Web",3,2007-05-01
"301","2007-05","Industrie : Télécom",2,2007-05-01
"302","2007-05","Opposants : Autres",1,2007-05-01
"303","2007-05","Opposants : EUCD/LQDN",0,2007-05-01
"304","2007-05","P2P/DDL",0,2007-05-01
"305","2007-05","Parlement",5,2007-05-01
"306","2007-05","UE/IPRED",0,2007-05-01
"307","2007-06","ACTA/SOPA/PIPA",0,2007-06-01
"308","2007-06","Classe politique : Droite",0,2007-06-01
"309","2007-06","Classe politique : Gauche",0,2007-06-01
"310","2007-06","CNIL/CSA",0,2007-06-01
"311","2007-06","Conseils/Rapports",1,2007-06-01
"312","2007-06","DRM",3,2007-06-01
"313","2007-06","Exécutif : Ministère",0,2007-06-01
"314","2007-06","Exécutif : PR/PM/GOUV",0,2007-06-01
"315","2007-06","HADOPI/DADVSI/LOPPSI",4,2007-06-01
"316","2007-06","Industrie : Culture",3,2007-06-01
"317","2007-06","Industrie : Info/Web",2,2007-06-01
"318","2007-06","Industrie : Télécom",0,2007-06-01
"319","2007-06","Opposants : Autres",3,2007-06-01
"320","2007-06","Opposants : EUCD/LQDN",0,2007-06-01
"321","2007-06","P2P/DDL",0,2007-06-01
"322","2007-06","Parlement",0,2007-06-01
"323","2007-06","UE/IPRED",0,2007-06-01
"324","2007-07","ACTA/SOPA/PIPA",0,2007-07-01
"325","2007-07","Classe politique : Droite",0,2007-07-01
"326","2007-07","Classe politique : Gauche",0,2007-07-01
"327","2007-07","CNIL/CSA",0,2007-07-01
"328","2007-07","Conseils/Rapports",0,2007-07-01
"329","2007-07","DRM",0,2007-07-01
"330","2007-07","Exécutif : Ministère",0,2007-07-01
"331","2007-07","Exécutif : PR/PM/GOUV",1,2007-07-01
"332","2007-07","HADOPI/DADVSI/LOPPSI",1,2007-07-01
"333","2007-07","Industrie : Culture",1,2007-07-01
"334","2007-07","Industrie : Info/Web",0,2007-07-01
"335","2007-07","Industrie : Télécom",0,2007-07-01
"336","2007-07","Opposants : Autres",0,2007-07-01
"337","2007-07","Opposants : EUCD/LQDN",0,2007-07-01
"338","2007-07","P2P/DDL",1,2007-07-01
"339","2007-07","Parlement",0,2007-07-01
"340","2007-07","UE/IPRED",1,2007-07-01
"341","2007-09","ACTA/SOPA/PIPA",0,2007-09-01
"342","2007-09","Classe politique : Droite",0,2007-09-01
"343","2007-09","Classe politique : Gauche",0,2007-09-01
"344","2007-09","CNIL/CSA",0,2007-09-01
"345","2007-09","Conseils/Rapports",0,2007-09-01
"346","2007-09","DRM",0,2007-09-01
"347","2007-09","Exécutif : Ministère",0,2007-09-01
"348","2007-09","Exécutif : PR/PM/GOUV",0,2007-09-01
"349","2007-09","HADOPI/DADVSI/LOPPSI",1,2007-09-01
"350","2007-09","Industrie : Culture",0,2007-09-01
"351","2007-09","Industrie : Info/Web",0,2007-09-01
"352","2007-09","Industrie : Télécom",0,2007-09-01
"353","2007-09","Opposants : Autres",0,2007-09-01
"354","2007-09","Opposants : EUCD/LQDN",0,2007-09-01
"355","2007-09","P2P/DDL",0,2007-09-01
"356","2007-09","Parlement",0,2007-09-01
"357","2007-09","UE/IPRED",0,2007-09-01
"358","2007-10","ACTA/SOPA/PIPA",0,2007-10-01
"359","2007-10","Classe politique : Droite",3,2007-10-01
"360","2007-10","Classe politique : Gauche",0,2007-10-01
"361","2007-10","CNIL/CSA",0,2007-10-01
"362","2007-10","Conseils/Rapports",4,2007-10-01
"363","2007-10","DRM",0,2007-10-01
"364","2007-10","Exécutif : Ministère",3,2007-10-01
"365","2007-10","Exécutif : PR/PM/GOUV",0,2007-10-01
"366","2007-10","HADOPI/DADVSI/LOPPSI",5,2007-10-01
"367","2007-10","Industrie : Culture",1,2007-10-01
"368","2007-10","Industrie : Info/Web",1,2007-10-01
"369","2007-10","Industrie : Télécom",4,2007-10-01
"370","2007-10","Opposants : Autres",0,2007-10-01
"371","2007-10","Opposants : EUCD/LQDN",0,2007-10-01
"372","2007-10","P2P/DDL",0,2007-10-01
"373","2007-10","Parlement",3,2007-10-01
"374","2007-10","UE/IPRED",0,2007-10-01
"375","2007-11","ACTA/SOPA/PIPA",0,2007-11-01
"376","2007-11","Classe politique : Droite",0,2007-11-01
"377","2007-11","Classe politique : Gauche",0,2007-11-01
"378","2007-11","CNIL/CSA",3,2007-11-01
"379","2007-11","Conseils/Rapports",6,2007-11-01
"380","2007-11","DRM",0,2007-11-01
"381","2007-11","Exécutif : Ministère",3,2007-11-01
"382","2007-11","Exécutif : PR/PM/GOUV",3,2007-11-01
"383","2007-11","HADOPI/DADVSI/LOPPSI",6,2007-11-01
"384","2007-11","Industrie : Culture",2,2007-11-01
"385","2007-11","Industrie : Info/Web",3,2007-11-01
"386","2007-11","Industrie : Télécom",0,2007-11-01
"387","2007-11","Opposants : Autres",1,2007-11-01
"388","2007-11","Opposants : EUCD/LQDN",0,2007-11-01
"389","2007-11","P2P/DDL",2,2007-11-01
"390","2007-11","Parlement",3,2007-11-01
"391","2007-11","UE/IPRED",0,2007-11-01
"392","2007-12","ACTA/SOPA/PIPA",0,2007-12-01
"393","2007-12","Classe politique : Droite",0,2007-12-01
"394","2007-12","Classe politique : Gauche",0,2007-12-01
"395","2007-12","CNIL/CSA",0,2007-12-01
"396","2007-12","Conseils/Rapports",0,2007-12-01
"397","2007-12","DRM",0,2007-12-01
"398","2007-12","Exécutif : Ministère",0,2007-12-01
"399","2007-12","Exécutif : PR/PM/GOUV",0,2007-12-01
"400","2007-12","HADOPI/DADVSI/LOPPSI",1,2007-12-01
"401","2007-12","Industrie : Culture",1,2007-12-01
"402","2007-12","Industrie : Info/Web",0,2007-12-01
"403","2007-12","Industrie : Télécom",0,2007-12-01
"404","2007-12","Opposants : Autres",0,2007-12-01
"405","2007-12","Opposants : EUCD/LQDN",0,2007-12-01
"406","2007-12","P2P/DDL",1,2007-12-01
"407","2007-12","Parlement",0,2007-12-01
"408","2007-12","UE/IPRED",0,2007-12-01
"409","2008-01","ACTA/SOPA/PIPA",0,2008-01-01
"410","2008-01","Classe politique : Droite",0,2008-01-01
"411","2008-01","Classe politique : Gauche",0,2008-01-01
"412","2008-01","CNIL/CSA",0,2008-01-01
"413","2008-01","Conseils/Rapports",1,2008-01-01
"414","2008-01","DRM",1,2008-01-01
"415","2008-01","Exécutif : Ministère",1,2008-01-01
"416","2008-01","Exécutif : PR/PM/GOUV",1,2008-01-01
"417","2008-01","HADOPI/DADVSI/LOPPSI",1,2008-01-01
"418","2008-01","Industrie : Culture",1,2008-01-01
"419","2008-01","Industrie : Info/Web",0,2008-01-01
"420","2008-01","Industrie : Télécom",0,2008-01-01
"421","2008-01","Opposants : Autres",0,2008-01-01
"422","2008-01","Opposants : EUCD/LQDN",0,2008-01-01
"423","2008-01","P2P/DDL",0,2008-01-01
"424","2008-01","Parlement",1,2008-01-01
"425","2008-01","UE/IPRED",0,2008-01-01
"426","2008-03","ACTA/SOPA/PIPA",0,2008-03-01
"427","2008-03","Classe politique : Droite",0,2008-03-01
"428","2008-03","Classe politique : Gauche",0,2008-03-01
"429","2008-03","CNIL/CSA",0,2008-03-01
"430","2008-03","Conseils/Rapports",1,2008-03-01
"431","2008-03","DRM",1,2008-03-01
"432","2008-03","Exécutif : Ministère",0,2008-03-01
"433","2008-03","Exécutif : PR/PM/GOUV",0,2008-03-01
"434","2008-03","HADOPI/DADVSI/LOPPSI",4,2008-03-01
"435","2008-03","Industrie : Culture",0,2008-03-01
"436","2008-03","Industrie : Info/Web",0,2008-03-01
"437","2008-03","Industrie : Télécom",0,2008-03-01
"438","2008-03","Opposants : Autres",0,2008-03-01
"439","2008-03","Opposants : EUCD/LQDN",0,2008-03-01
"440","2008-03","P2P/DDL",0,2008-03-01
"441","2008-03","Parlement",0,2008-03-01
"442","2008-03","UE/IPRED",0,2008-03-01
"443","2008-05","ACTA/SOPA/PIPA",0,2008-05-01
"444","2008-05","Classe politique : Droite",0,2008-05-01
"445","2008-05","Classe politique : Gauche",1,2008-05-01
"446","2008-05","CNIL/CSA",2,2008-05-01
"447","2008-05","Conseils/Rapports",1,2008-05-01
"448","2008-05","DRM",0,2008-05-01
"449","2008-05","Exécutif : Ministère",1,2008-05-01
"450","2008-05","Exécutif : PR/PM/GOUV",1,2008-05-01
"451","2008-05","HADOPI/DADVSI/LOPPSI",5,2008-05-01
"452","2008-05","Industrie : Culture",4,2008-05-01
"453","2008-05","Industrie : Info/Web",0,2008-05-01
"454","2008-05","Industrie : Télécom",2,2008-05-01
"455","2008-05","Opposants : Autres",2,2008-05-01
"456","2008-05","Opposants : EUCD/LQDN",2,2008-05-01
"457","2008-05","P2P/DDL",0,2008-05-01
"458","2008-05","Parlement",2,2008-05-01
"459","2008-05","UE/IPRED",1,2008-05-01
"460","2008-06","ACTA/SOPA/PIPA",0,2008-06-01
"461","2008-06","Classe politique : Droite",0,2008-06-01
"462","2008-06","Classe politique : Gauche",2,2008-06-01
"463","2008-06","CNIL/CSA",4,2008-06-01
"464","2008-06","Conseils/Rapports",7,2008-06-01
"465","2008-06","DRM",1,2008-06-01
"466","2008-06","Exécutif : Ministère",10,2008-06-01
"467","2008-06","Exécutif : PR/PM/GOUV",3,2008-06-01
"468","2008-06","HADOPI/DADVSI/LOPPSI",11,2008-06-01
"469","2008-06","Industrie : Culture",3,2008-06-01
"470","2008-06","Industrie : Info/Web",0,2008-06-01
"471","2008-06","Industrie : Télécom",5,2008-06-01
"472","2008-06","Opposants : Autres",4,2008-06-01
"473","2008-06","Opposants : EUCD/LQDN",0,2008-06-01
"474","2008-06","P2P/DDL",0,2008-06-01
"475","2008-06","Parlement",5,2008-06-01
"476","2008-06","UE/IPRED",0,2008-06-01
"477","2008-07","ACTA/SOPA/PIPA",0,2008-07-01
"478","2008-07","Classe politique : Droite",0,2008-07-01
"479","2008-07","Classe politique : Gauche",0,2008-07-01
"480","2008-07","CNIL/CSA",1,2008-07-01
"481","2008-07","Conseils/Rapports",0,2008-07-01
"482","2008-07","DRM",0,2008-07-01
"483","2008-07","Exécutif : Ministère",1,2008-07-01
"484","2008-07","Exécutif : PR/PM/GOUV",2,2008-07-01
"485","2008-07","HADOPI/DADVSI/LOPPSI",5,2008-07-01
"486","2008-07","Industrie : Culture",1,2008-07-01
"487","2008-07","Industrie : Info/Web",0,2008-07-01
"488","2008-07","Industrie : Télécom",2,2008-07-01
"489","2008-07","Opposants : Autres",0,2008-07-01
"490","2008-07","Opposants : EUCD/LQDN",0,2008-07-01
"491","2008-07","P2P/DDL",0,2008-07-01
"492","2008-07","Parlement",2,2008-07-01
"493","2008-07","UE/IPRED",2,2008-07-01
"494","2008-08","ACTA/SOPA/PIPA",0,2008-08-01
"495","2008-08","Classe politique : Droite",0,2008-08-01
"496","2008-08","Classe politique : Gauche",0,2008-08-01
"497","2008-08","CNIL/CSA",0,2008-08-01
"498","2008-08","Conseils/Rapports",2,2008-08-01
"499","2008-08","DRM",0,2008-08-01
"500","2008-08","Exécutif : Ministère",1,2008-08-01
"501","2008-08","Exécutif : PR/PM/GOUV",1,2008-08-01
"502","2008-08","HADOPI/DADVSI/LOPPSI",2,2008-08-01
"503","2008-08","Industrie : Culture",1,2008-08-01
"504","2008-08","Industrie : Info/Web",0,2008-08-01
