"","t","c","N","t2"
"387","2007-07","Opposants : Autres",0,2007-07-01
"388","2007-07","Opposants : EUCD/LQDN",0,2007-07-01
"389","2007-07","P2P/DDL",1,2007-07-01
"390","2007-07","Parlement",0,2007-07-01
"391","2007-07","UE/IPRED",1,2007-07-01
"392","2007-08","ACTA/SOPA/PIPA",0,2007-08-01
"393","2007-08","Classe politique : Droite",0,2007-08-01
"394","2007-08","Classe politique : Gauche",0,2007-08-01
"395","2007-08","CNIL/CSA",0,2007-08-01
"396","2007-08","Conseils/Rapports",2,2007-08-01
"397","2007-08","DRM",1,2007-08-01
"398","2007-08","Exécutif : Ministère",2,2007-08-01
"399","2007-08","Exécutif : PR/PM/GOUV",2,2007-08-01
"400","2007-08","HADOPI/DADVSI/LOPPSI",3,2007-08-01
"401","2007-08","Industrie : Culture",3,2007-08-01
"402","2007-08","Industrie : Info/Web",0,2007-08-01
"403","2007-08","Industrie : Télécom",2,2007-08-01
"404","2007-08","Opposants : Autres",0,2007-08-01
"405","2007-08","Opposants : EUCD/LQDN",0,2007-08-01
"406","2007-08","P2P/DDL",0,2007-08-01
"407","2007-08","Parlement",0,2007-08-01
"408","2007-08","UE/IPRED",0,2007-08-01
"409","2007-09","ACTA/SOPA/PIPA",0,2007-09-01
"410","2007-09","Classe politique : Droite",0,2007-09-01
"411","2007-09","Classe politique : Gauche",0,2007-09-01
"412","2007-09","CNIL/CSA",0,2007-09-01
"413","2007-09","Conseils/Rapports",2,2007-09-01
"414","2007-09","DRM",1,2007-09-01
"415","2007-09","Exécutif : Ministère",1,2007-09-01
"416","2007-09","Exécutif : PR/PM/GOUV",1,2007-09-01
"417","2007-09","HADOPI/DADVSI/LOPPSI",1,2007-09-01
"418","2007-09","Industrie : Culture",2,2007-09-01
"419","2007-09","Industrie : Info/Web",1,2007-09-01
"420","2007-09","Industrie : Télécom",0,2007-09-01
"421","2007-09","Opposants : Autres",0,2007-09-01
"422","2007-09","Opposants : EUCD/LQDN",0,2007-09-01
"423","2007-09","P2P/DDL",0,2007-09-01
"424","2007-09","Parlement",0,2007-09-01
"425","2007-09","UE/IPRED",0,2007-09-01
"426","2007-10","ACTA/SOPA/PIPA",0,2007-10-01
"427","2007-10","Classe politique : Droite",1,2007-10-01
"428","2007-10","Classe politique : Gauche",1,2007-10-01
"429","2007-10","CNIL/CSA",1,2007-10-01
"430","2007-10","Conseils/Rapports",5,2007-10-01
"431","2007-10","DRM",1,2007-10-01
"432","2007-10","Exécutif : Ministère",2,2007-10-01
"433","2007-10","Exécutif : PR/PM/GOUV",2,2007-10-01
"434","2007-10","HADOPI/DADVSI/LOPPSI",9,2007-10-01
"435","2007-10","Industrie : Culture",8,2007-10-01
"436","2007-10","Industrie : Info/Web",1,2007-10-01
"437","2007-10","Industrie : Télécom",4,2007-10-01
"438","2007-10","Opposants : Autres",0,2007-10-01
"439","2007-10","Opposants : EUCD/LQDN",1,2007-10-01
"440","2007-10","P2P/DDL",0,2007-10-01
"441","2007-10","Parlement",3,2007-10-01
"442","2007-10","UE/IPRED",1,2007-10-01
"443","2007-11","ACTA/SOPA/PIPA",0,2007-11-01
"444","2007-11","Classe politique : Droite",1,2007-11-01
"445","2007-11","Classe politique : Gauche",1,2007-11-01
"446","2007-11","CNIL/CSA",0,2007-11-01
"447","2007-11","Conseils/Rapports",6,2007-11-01
"448","2007-11","DRM",5,2007-11-01
"449","2007-11","Exécutif : Ministère",3,2007-11-01
"450","2007-11","Exécutif : PR/PM/GOUV",1,2007-11-01
"451","2007-11","HADOPI/DADVSI/LOPPSI",8,2007-11-01
"452","2007-11","Industrie : Culture",6,2007-11-01
"453","2007-11","Industrie : Info/Web",1,2007-11-01
"454","2007-11","Industrie : Télécom",0,2007-11-01
"455","2007-11","Opposants : Autres",1,2007-11-01
"456","2007-11","Opposants : EUCD/LQDN",0,2007-11-01
"457","2007-11","P2P/DDL",3,2007-11-01
"458","2007-11","Parlement",2,2007-11-01
"459","2007-11","UE/IPRED",1,2007-11-01
"460","2007-12","ACTA/SOPA/PIPA",0,2007-12-01
"461","2007-12","Classe politique : Droite",0,2007-12-01
"462","2007-12","Classe politique : Gauche",0,2007-12-01
"463","2007-12","CNIL/CSA",1,2007-12-01
"464","2007-12","Conseils/Rapports",1,2007-12-01
"465","2007-12","DRM",3,2007-12-01
"466","2007-12","Exécutif : Ministère",0,2007-12-01
"467","2007-12","Exécutif : PR/PM/GOUV",0,2007-12-01
"468","2007-12","HADOPI/DADVSI/LOPPSI",6,2007-12-01
"469","2007-12","Industrie : Culture",2,2007-12-01
"470","2007-12","Industrie : Info/Web",0,2007-12-01
"471","2007-12","Industrie : Télécom",0,2007-12-01
"472","2007-12","Opposants : Autres",1,2007-12-01
"473","2007-12","Opposants : EUCD/LQDN",1,2007-12-01
"474","2007-12","P2P/DDL",1,2007-12-01
"475","2007-12","Parlement",2,2007-12-01
"476","2007-12","UE/IPRED",0,2007-12-01
"477","2008-01","ACTA/SOPA/PIPA",0,2008-01-01
"478","2008-01","Classe politique : Droite",0,2008-01-01
"479","2008-01","Classe politique : Gauche",0,2008-01-01
"480","2008-01","CNIL/CSA",0,2008-01-01
"481","2008-01","Conseils/Rapports",0,2008-01-01
"482","2008-01","DRM",0,2008-01-01
"483","2008-01","Exécutif : Ministère",0,2008-01-01
"484","2008-01","Exécutif : PR/PM/GOUV",1,2008-01-01
"485","2008-01","HADOPI/DADVSI/LOPPSI",1,2008-01-01
"486","2008-01","Industrie : Culture",0,2008-01-01
"487","2008-01","Industrie : Info/Web",1,2008-01-01
"488","2008-01","Industrie : Télécom",0,2008-01-01
"489","2008-01","Opposants : Autres",0,2008-01-01
"490","2008-01","Opposants : EUCD/LQDN",0,2008-01-01
"491","2008-01","P2P/DDL",0,2008-01-01
"492","2008-01","Parlement",0,2008-01-01
"493","2008-01","UE/IPRED",0,2008-01-01
"494","2008-02","ACTA/SOPA/PIPA",0,2008-02-01
"495","2008-02","Classe politique : Droite",0,2008-02-01
"496","2008-02","Classe politique : Gauche",0,2008-02-01
"497","2008-02","CNIL/CSA",1,2008-02-01
"498","2008-02","Conseils/Rapports",2,2008-02-01
"499","2008-02","DRM",2,2008-02-01
"500","2008-02","Exécutif : Ministère",0,2008-02-01
"501","2008-02","Exécutif : PR/PM/GOUV",2,2008-02-01
"502","2008-02","HADOPI/DADVSI/LOPPSI",4,2008-02-01
"503","2008-02","Industrie : Culture",2,2008-02-01
"504","2008-02","Industrie : Info/Web",2,2008-02-01
