"t","i","j","w"
"2009-03-31","Arcep","Franck Riester",0.000123456790123457
"2009-03-31","Arcep","Frédéric Lefebvre",0.0001806684733514
"2009-03-31","Arcep","Jean Dionis du Séjour",0.000333667000333667
"2009-03-31","Arcep","Jean-Pierre Brard",0.000293944738389183
"2009-03-31","Arcep","Patrick Bloche",8.94614421184471e-05
"2009-03-31","Christine Albanel","Conseil d'Etat",2.30941548694025e-05
"2009-03-31","Christine Albanel","Didier Mathus",5.79882428837553e-05
"2009-03-31","Christine Albanel","Franck Riester",2.64812975835816e-05
"2009-03-31","Christine Albanel","Frédéric Lefebvre",3.87531184149975e-05
"2009-03-31","Christine Albanel","Jean Dionis du Séjour",7.15710745502205e-05
"2009-03-31","Christine Albanel","Jean-Pierre Brard",6.30507085323373e-05
"2009-03-31","Christine Albanel","Patrick Bloche",1.91893460750591e-05
"2009-03-31","Conseil d'Etat","Didier Mathus",0.000169750466813784
"2009-03-31","Conseil d'Etat","Franck Riester",7.75193798449612e-05
"2009-03-31","Conseil d'Etat","Frédéric Lefebvre",0.000113442994895065
"2009-03-31","Conseil d'Etat","Jean Dionis du Séjour",0.000209511837418814
"2009-03-31","Conseil d'Etat","Jean-Pierre Brard",0.000184569952011813
"2009-03-31","Conseil d'Etat","Patrick Bloche",5.6173463655769e-05
"2009-03-31","Didier Mathus","Franck Riester",0.000194647201946472
"2009-03-31","Didier Mathus","Frédéric Lefebvre",0.000284849563824105
"2009-03-31","Didier Mathus","Jean Dionis du Séjour",0.000526073518774248
"2009-03-31","Didier Mathus","Jean-Pierre Brard",0.000463445718920172
"2009-03-31","Didier Mathus","Patrick Bloche",0.000141048697062661
"2009-03-31","Franck Riester","Frédéric Lefebvre",0.000130081300813008
"2009-03-31","Franck Riester","Jean Dionis du Séjour",0.00024024024024024
"2009-03-31","Franck Riester","Jean-Pierre Brard",0.000211640211640212
"2009-03-31","Franck Riester","Patrick Bloche",6.44122383252819e-05
"2009-03-31","Frédéric Lefebvre","Jean Dionis du Séjour",0.0003515710832784
"2009-03-31","Frédéric Lefebvre","Jean-Pierre Brard",0.000309717382888115
"2009-03-31","Frédéric Lefebvre","Patrick Bloche",9.42618121833393e-05
"2009-03-31","Jean Dionis du Séjour","Jean-Pierre Brard",0.000572000572000572
"2009-03-31","Jean Dionis du Séjour","Patrick Bloche",0.00017408713060887
"2009-03-31","Jean-Pierre Brard","Patrick Bloche",0.000153362472203052
"2009-03-31","Christian Vanneste","Franck Riester",0.000148148148148148
"2009-03-31","Christian Vanneste","UMP",4.23011844331641e-05
"2009-03-31","Franck Riester","UMP",1.12803158488437e-05
"2009-04-01","Arcep","Christian Vanneste",0.000308641975308643
"2009-04-01","Arcep","CNIL",4.91207387759111e-05
"2009-04-01","Arcep","Franck Riester",8.23045267489711e-05
"2009-04-01","Arcep","Parti Socialiste",0.000133226751931788
"2009-04-01","Arcep","Patrick Bloche",8.94614421184471e-05
"2009-04-01","Arcep","UMP",2.35006580184244e-05
"2009-04-01","Christian Vanneste","CNIL",8.84173297966402e-05
"2009-04-01","Christian Vanneste","Franck Riester",0.000148148148148148
"2009-04-01","Christian Vanneste","Parti Socialiste",0.000239808153477219
"2009-04-01","Christian Vanneste","Patrick Bloche",0.000161030595813205
"2009-04-01","Christian Vanneste","UMP",4.23011844331641e-05
"2009-04-01","CNIL","Franck Riester",2.35779546124373e-05
"2009-04-01","CNIL","Parti Socialiste",3.81657538690533e-05
"2009-04-01","CNIL","Patrick Bloche",2.5628211535258e-05
"2009-04-01","CNIL","UMP",6.732283994668e-06
"2009-04-01","Franck Riester","Parti Socialiste",6.39488409272582e-05
"2009-04-01","Franck Riester","Patrick Bloche",4.29414922168545e-05
"2009-04-01","Franck Riester","UMP",1.12803158488437e-05
"2009-04-01","Parti Socialiste","Patrick Bloche",6.95096097035416e-05
"2009-04-01","Parti Socialiste","UMP",1.82595040718694e-05
"2009-04-01","Patrick Bloche","UMP",1.2261212879178e-05
"2009-04-01","Alain Suguenot","CMP",0.000814000814000814
"2009-04-01","Alain Suguenot","SACEM",0.000102976006590464
"2009-04-01","Alain Suguenot","UMP",4.33858301878605e-05
"2009-04-01","CMP","SACEM",0.000143430866322432
"2009-04-01","CMP","UMP",6.04302634759486e-05
"2009-04-01","SACEM","UMP",7.64479236743927e-06
"2009-04-02","Christian Paul","Christine Albanel",2.13558851480497e-05
"2009-04-02","Christian Paul","Frédéric Lefebvre",0.0001049042748492
"2009-04-02","Christian Paul","Jean-Pierre Brard",0.000170677590032429
"2009-04-02","Christian Paul","Microsoft",6.84884596945416e-05
"2009-04-02","Christian Paul","Patrick Bloche",5.19453534881306e-05
"2009-04-02","Christine Albanel","Frédéric Lefebvre",3.87531184149975e-05
"2009-04-02","Christine Albanel","Jean-Pierre Brard",6.30507085323373e-05
"2009-04-02","Christine Albanel","Microsoft",2.53006027868614e-05
"2009-04-02","Christine Albanel","Patrick Bloche",1.91893460750591e-05
"2009-04-02","Frédéric Lefebvre","Jean-Pierre Brard",0.000309717382888115
"2009-04-02","Frédéric Lefebvre","Microsoft",0.000124281497592046
"2009-04-02","Frédéric Lefebvre","Patrick Bloche",9.42618121833393e-05
"2009-04-02","Jean-Pierre Brard","Microsoft",0.000202204023860075
"2009-04-02","Jean-Pierre Brard","Patrick Bloche",0.000153362472203052
"2009-04-02","Microsoft","Patrick Bloche",6.15403550878489e-05
"2009-04-01","Christine Albanel","Fédération Française des Télécoms",0.000209062875659855
"2009-04-01","Christine Albanel","Franck Riester",1.76541983890544e-05
"2009-04-01","Christine Albanel","Free",1.04257077100715e-05
"2009-04-01","Christine Albanel","Jean Dionis du Séjour",7.15710745502205e-05
"2009-04-01","Christine Albanel","Marc Le Fur",0.00033101621979477
"2009-04-01","Christine Albanel","Martine Billard",4.96524329692155e-05
"2009-04-01","Christine Albanel","Patrice Martin-Lalande",0.00033101621979477
"2009-04-01","Christine Albanel","Patrick Bloche",1.91893460750591e-05
"2009-04-01","Fédération Française des Télécoms","Franck Riester",0.000467836257309941
"2009-04-01","Fédération Française des Télécoms","Free",0.000276281254316895
"2009-04-01","Fédération Française des Télécoms","Jean Dionis du Séjour",0.00189663347558084
"2009-04-01","Fédération Française des Télécoms","Marc Le Fur",0.0087719298245614
"2009-04-01","Fédération Française des Télécoms","Martine Billard",0.00131578947368421
"2009-04-01","Fédération Française des Télécoms","Patrice Martin-Lalande",0.0087719298245614
"2009-04-01","Fédération Française des Télécoms","Patrick Bloche",0.000508517670989067
"2009-04-01","Franck Riester","Free",2.33304170312044e-05
"2009-04-01","Franck Riester","Jean Dionis du Séjour",0.00016016016016016
"2009-04-01","Franck Riester","Marc Le Fur",0.00074074074074074
"2009-04-01","Franck Riester","Martine Billard",0.000111111111111111
"2009-04-01","Franck Riester","Patrice Martin-Lalande",0.00074074074074074
"2009-04-01","Franck Riester","Patrick Bloche",4.29414922168545e-05
"2009-04-01","Free","Jean Dionis du Séjour",9.4582771748126e-05
"2009-04-01","Free","Marc Le Fur",0.000437445319335083
"2009-04-01","Free","Martine Billard",6.56167979002625e-05
"2009-04-01","Free","Patrice Martin-Lalande",0.000437445319335083
"2009-04-01","Free","Patrick Bloche",2.53591489469614e-05
"2009-04-01","Jean Dionis du Séjour","Marc Le Fur",0.003003003003003
"2009-04-01","Jean Dionis du Séjour","Martine Billard",0.00045045045045045
"2009-04-01","Jean Dionis du Séjour","Patrice Martin-Lalande",0.003003003003003
"2009-04-01","Jean Dionis du Séjour","Patrick Bloche",0.00017408713060887
"2009-04-01","Marc Le Fur","Martine Billard",0.00208333333333333
"2009-04-01","Marc Le Fur","Patrice Martin-Lalande",0.0138888888888889
"2009-04-01","Marc Le Fur","Patrick Bloche",0.000805152979066023
"2009-04-01","Martine Billard","Patrice Martin-Lalande",0.00208333333333333
"2009-04-01","Martine Billard","Patrick Bloche",0.000120772946859904
"2009-04-01","Patrice Martin-Lalande","Patrick Bloche",0.000805152979066023
"2009-04-02","Christine Albanel","Franck Riester",1.76541983890544e-05
"2009-04-02","Christine Albanel","Justice",2.28287048134324e-05
"2009-04-02","Christine Albanel","Martine Billard",4.96524329692155e-05
"2009-04-02","Christine Albanel","Patrick Bloche",1.91893460750591e-05
"2009-04-02","Christine Albanel","Renaud Donnedieu de Vabres",2.05104714502783e-05
"2009-04-02","Franck Riester","Justice",5.10855683269476e-05
"2009-04-02","Franck Riester","Martine Billard",0.000111111111111111
"2009-04-02","Franck Riester","Patrick Bloche",4.29414922168545e-05
"2009-04-02","Franck Riester","Renaud Donnedieu de Vabres",4.58978772231784e-05
"2009-04-02","Justice","Martine Billard",0.00014367816091954
"2009-04-02","Justice","Patrick Bloche",5.55277916597258e-05
"2009-04-02","Justice","Renaud Donnedieu de Vabres",5.93507033058341e-05
"2009-04-02","Martine Billard","Patrick Bloche",0.000120772946859904
"2009-04-02","Martine Billard","Renaud Donnedieu de Vabres",0.000129087779690189
"2009-04-02","Patrick Bloche","Renaud Donnedieu de Vabres",4.98889969817157e-05
"2009-04-02","Christine Albanel","Jean Dionis du Séjour",7.15710745502205e-05
"2009-04-02","APRIL","Christine Albanel",0.000283728188395517
"2009-04-02","APRIL","Martine Billard",0.00357142857142857
"2009-04-02","APRIL","Verts",0.00108225108225108
"2009-04-02","Christine Albanel","Martine Billard",9.9304865938431e-05
"2009-04-02","Christine Albanel","Verts",3.00923836177064e-05
"2009-04-02","Martine Billard","Verts",0.000378787878787879
"2009-04-02","UMP","V/U",1.27755254999489e-05
"2009-04-02","UMP","Warner",2.48830496665671e-05
"2009-04-02","V/U","Warner",9.86971969996053e-05
"2009-04-02","Christian Paul","Frédéric Lefebvre",0.0001049042748492
"2009-04-02","Christian Paul","Jean-Pierre Brard",0.000170677590032429
"2009-04-02","Christian Paul","UMP",1.36455433655368e-05
"2009-04-02","Frédéric Lefebvre","Jean-Pierre Brard",0.000309717382888115
"2009-04-02","Frédéric Lefebvre","UMP",2.47616689364862e-05
"2009-04-02","Jean-Pierre Brard","UMP",4.02868423172991e-05
"2009-04-02","Christine Albanel","Franck Riester",1.76541983890544e-05
"2009-04-02","Christine Albanel","Martine Billard",9.9304865938431e-05
"2009-04-02","Christine Albanel","Muriel Marland-Militello",7.56608502388044e-05
"2009-04-02","Christine Albanel","Verts",3.00923836177064e-05
"2009-04-02","Franck Riester","Martine Billard",0.000222222222222222
"2009-04-02","Franck Riester","Muriel Marland-Militello",0.000169312169312169
"2009-04-02","Franck Riester","Verts",6.73400673400673e-05
"2009-04-02","Martine Billard","Muriel Marland-Militello",0.00095238095238095
"2009-04-02","Martine Billard","Verts",0.000378787878787879
"2009-04-02","Muriel Marland-Militello","Verts",0.000288600288600288
"2009-04-03","CMP","Jean Dionis du Séjour",0.000429000429000428
"2009-04-03","CMP","Martine Billard",0.000297619047619048
"2009-04-03","CMP","Nicolas Sarkozy",3.60750360750362e-05
"2009-04-03","CMP","Patrick Bloche",0.000115021854152289
"2009-04-03","CMP","Roger Karoutchi",0.0012531328320802
"2009-04-03","CMP","UMP",3.02151317379743e-05
"2009-04-03","Jean Dionis du Séjour","Martine Billard",0.00045045045045045
"2009-04-03","Jean Dionis du Séjour","Nicolas Sarkozy",5.46000546000547e-05
"2009-04-03","Jean Dionis du Séjour","Patrick Bloche",0.00017408713060887
"2009-04-03","Jean Dionis du Séjour","Roger Karoutchi",0.00189663347558084
"2009-04-03","Jean Dionis du Séjour","UMP",4.57310101980151e-05
"2009-04-03","Martine Billard","Nicolas Sarkozy",3.7878787878788e-05
"2009-04-03","Martine Billard","Patrick Bloche",0.000120772946859904
"2009-04-03","Martine Billard","Roger Karoutchi",0.00131578947368421
"2009-04-03","Martine Billard","UMP",3.1725888324873e-05
"2009-04-03","Nicolas Sarkozy","Patrick Bloche",1.46391450739277e-05
"2009-04-03","Nicolas Sarkozy","Roger Karoutchi",0.000159489633173844
"2009-04-03","Nicolas Sarkozy","UMP",3.84556222119674e-06
"2009-04-03","Patrick Bloche","Roger Karoutchi",0.000508517670989067
"2009-04-03","Patrick Bloche","UMP",1.2261212879178e-05
"2009-04-03","Roger Karoutchi","UMP",0.000133582687683676
"2009-04-03","Christine Albanel","CNIL",1.05363252985073e-05
"2009-04-03","Christine Albanel","Conseil Constitutionnel",3.07922064925367e-05
"2009-04-03","Christine Albanel","Jean-Pierre Brard",6.30507085323373e-05
"2009-04-03","Christine Albanel","Parti Socialiste",2.85769398383974e-05
"2009-04-03","Christine Albanel","Renaud Donnedieu de Vabres",6.83682381675944e-06
"2009-04-03","CNIL","Conseil Constitutionnel",4.11243394402977e-05
"2009-04-03","CNIL","Jean-Pierre Brard",8.42069807587049e-05
"2009-04-03","CNIL","Parti Socialiste",3.81657538690533e-05
"2009-04-03","CNIL","Renaud Donnedieu de Vabres",9.13087743166678e-06
"2009-04-03","Conseil Constitutionnel","Jean-Pierre Brard",0.000246093269349084
"2009-04-03","Conseil Constitutionnel","Parti Socialiste",0.000111538676035915
"2009-04-03","Conseil Constitutionnel","Renaud Donnedieu de Vabres",2.66848123390572e-05
"2009-04-03","Jean-Pierre Brard","Parti Socialiste",0.000228388717597351
"2009-04-03","Jean-Pierre Brard","Renaud Donnedieu de Vabres",5.46403300275934e-05
"2009-04-03","Parti Socialiste","Renaud Donnedieu de Vabres",2.47650416671826e-05
"2009-04-03","Bruno Retailleau","Christian Paul",0.000896057347670251
"2009-04-03","Bruno Retailleau","CMP",0.00396825396825397
"2009-04-03","Bruno Retailleau","Conseil Constitutionnel",0.00129198966408269
"2009-04-03","Bruno Retailleau","Corinne Erhel",0.00925925925925926
"2009-04-03","Bruno Retailleau","Didier Mathus",0.0024330900243309
"2009-04-03","Bruno Retailleau","Franck Riester",0.00074074074074074
"2009-04-03","Bruno Retailleau","Frédéric Lefebvre",0.0016260162601626
"2009-04-03","Bruno Retailleau","Jacques Chirac",0.00469483568075117
"2009-04-03","Bruno Retailleau","Jacques Legendre",0.0151515151515151
"2009-04-03","Bruno Retailleau","Jean Dionis du Séjour",0.003003003003003
"2009-04-03","Bruno Retailleau","Jean-Louis Debré",0.0087719298245614
"2009-04-03","Bruno Retailleau","LQDN",0.00089126559714795
"2009-04-03","Bruno Retailleau","Michel Thiollière",0.00268817204301075
"2009-04-03","Bruno Retailleau","Muriel Marland-Militello",0.00317460317460317
"2009-04-03","Bruno Retailleau","Nicolas Sarkozy",0.000252525252525253
"2009-04-03","Bruno Retailleau","Parti Socialiste",0.00119904076738609
"2009-04-03","Bruno Retailleau","Patrick Bloche",0.000805152979066023
"2009-04-03","Bruno Retailleau","Philippe Gosselin",0.00833333333333333
"2009-04-03","Bruno Retailleau","Serge Lagauche",0.0138888888888889
"2009-04-03","Christian Paul","CMP",0.000256016385048643
"2009-04-03","Christian Paul","Conseil Constitutionnel",8.33541718763024e-05
"2009-04-03","Christian Paul","Corinne Erhel",0.000597371565113502
"2009-04-03","Christian Paul","Didier Mathus",0.000156973549956832
"2009-04-03","Christian Paul","Franck Riester",4.778972520908e-05
"2009-04-03","Christian Paul","Frédéric Lefebvre",0.0001049042748492
"2009-04-03","Christian Paul","Jacques Chirac",0.000302892624564592
"2009-04-03","Christian Paul","Jacques Legendre",0.000977517106549365
"2009-04-03","Christian Paul","Jean Dionis du Séjour",0.000193742129226
"2009-04-03","Christian Paul","Jean-Louis Debré",0.000565930956423317
"2009-04-03","Christian Paul","LQDN",5.75010062676097e-05
"2009-04-03","Christian Paul","Michel Thiollière",0.00017343045438779
"2009-04-03","Christian Paul","Muriel Marland-Militello",0.000204813108038914
"2009-04-03","Christian Paul","Nicolas Sarkozy",1.62919517758228e-05
"2009-04-03","Christian Paul","Parti Socialiste",7.73574688636189e-05
"2009-04-03","Christian Paul","Patrick Bloche",5.19453534881306e-05
"2009-04-03","Christian Paul","Philippe Gosselin",0.000537634408602151
"2009-04-03","Christian Paul","Serge Lagauche",0.000896057347670251
"2009-04-03","CMP","Conseil Constitutionnel",0.000369139904023625
"2009-04-03","CMP","Corinne Erhel",0.00264550264550265
"2009-04-03","CMP","Didier Mathus",0.000695168578380257
"2009-04-03","CMP","Franck Riester",0.000211640211640211
"2009-04-03","CMP","Frédéric Lefebvre",0.000464576074332172
"2009-04-03","CMP","Jacques Chirac",0.00134138162307176
"2009-04-03","CMP","Jacques Legendre",0.00432900432900433
"2009-04-03","CMP","Jean Dionis du Séjour",0.000858000858000857
"2009-04-03","CMP","Jean-Louis Debré",0.0025062656641604
"2009-04-03","CMP","LQDN",0.000254647313470843
"2009-04-03","CMP","Michel Thiollière",0.000768049155145928
"2009-04-03","CMP","Muriel Marland-Militello",0.000907029478458047
"2009-04-03","CMP","Nicolas Sarkozy",7.21500721500724e-05
"2009-04-03","CMP","Parti Socialiste",0.000342583076396026
"2009-04-03","CMP","Patrick Bloche",0.000230043708304578
"2009-04-03","CMP","Philippe Gosselin",0.00238095238095238
"2009-04-03","CMP","Serge Lagauche",0.00396825396825397
"2009-04-03","Conseil Constitutionnel","Corinne Erhel",0.000861326442721792
"2009-04-03","Conseil Constitutionnel","Didier Mathus",0.000226333955751711
"2009-04-03","Conseil Constitutionnel","Franck Riester",6.89061154177432e-05
"2009-04-03","Conseil Constitutionnel","Frédéric Lefebvre",0.000151257326526754
"2009-04-03","Conseil Constitutionnel","Jacques Chirac",0.000436728900534992
"2009-04-03","Conseil Constitutionnel","Jacques Legendre",0.00140944326990839
"2009-04-03","Conseil Constitutionnel","Jean Dionis du Séjour",0.000279349116558418
"2009-04-03","Conseil Constitutionnel","Jean-Louis Debré",0.000815993472052223
"2009-04-03","Conseil Constitutionnel","LQDN",8.29084276416697e-05
"2009-04-03","Conseil Constitutionnel","Michel Thiollière",0.000250062515628907
"2009-04-03","Conseil Constitutionnel","Muriel Marland-Militello",0.000295311923218899
"2009-04-03","Conseil Constitutionnel","Nicolas Sarkozy",2.34907211651398e-05
"2009-04-03","Conseil Constitutionnel","Parti Socialiste",0.000111538676035915
"2009-04-03","Conseil Constitutionnel","Patrick Bloche",7.48979515410254e-05
"2009-04-03","Conseil Constitutionnel","Philippe Gosselin",0.000775193798449612
"2009-04-03","Conseil Constitutionnel","Serge Lagauche",0.00129198966408269
"2009-04-03","Corinne Erhel","Didier Mathus",0.0016220600162206
"2009-04-03","Corinne Erhel","Franck Riester",0.000493827160493827
"2009-04-03","Corinne Erhel","Frédéric Lefebvre",0.0010840108401084
"2009-04-03","Corinne Erhel","Jacques Chirac",0.00312989045383411
"2009-04-03","Corinne Erhel","Jacques Legendre",0.0101010101010101
"2009-04-03","Corinne Erhel","Jean Dionis du Séjour",0.002002002002002
"2009-04-03","Corinne Erhel","Jean-Louis Debré",0.00584795321637427
"2009-04-03","Corinne Erhel","LQDN",0.000594177064765301
"2009-04-03","Corinne Erhel","Michel Thiollière",0.0017921146953405
"2009-04-03","Corinne Erhel","Muriel Marland-Militello",0.00211640211640211
"2009-04-03","Corinne Erhel","Nicolas Sarkozy",0.000168350168350169
"2009-04-03","Corinne Erhel","Parti Socialiste",0.000799360511590728
"2009-04-03","Corinne Erhel","Patrick Bloche",0.000536768652710683
"2009-04-03","Corinne Erhel","Philippe Gosselin",0.00555555555555556
"2009-04-03","Corinne Erhel","Serge Lagauche",0.00925925925925926
"2009-04-03","Didier Mathus","Franck Riester",0.000129764801297648
"2009-04-03","Didier Mathus","Frédéric Lefebvre",0.000284849563824105
"2009-04-03","Didier Mathus","Jacques Chirac",0.000822452965971007
"2009-04-03","Didier Mathus","Jacques Legendre",0.0026542800265428
"2009-04-03","Didier Mathus","Jean Dionis du Séjour",0.000526073518774248
"2009-04-03","Didier Mathus","Jean-Louis Debré",0.00153668843641951
"2009-04-03","Didier Mathus","LQDN",0.0001561341192084
"2009-04-03","Didier Mathus","Michel Thiollière",0.000470920649870496
"2009-04-03","Didier Mathus","Muriel Marland-Militello",0.000556134862704204
"2009-04-03","Didier Mathus","Nicolas Sarkozy",4.42380004423801e-05
"2009-04-03","Didier Mathus","Parti Socialiste",0.000210050937352308
"2009-04-03","Didier Mathus","Patrick Bloche",0.000141048697062661
"2009-04-03","Didier Mathus","Philippe Gosselin",0.00145985401459854
"2009-04-03","Didier Mathus","Serge Lagauche",0.0024330900243309
"2009-04-03","Franck Riester","Frédéric Lefebvre",8.6720867208672e-05
"2009-04-03","Franck Riester","Jacques Chirac",0.000250391236306729
"2009-04-03","Franck Riester","Jacques Legendre",0.000808080808080807
"2009-04-03","Franck Riester","Jean Dionis du Séjour",0.00016016016016016
"2009-04-03","Franck Riester","Jean-Louis Debré",0.000467836257309941
"2009-04-03","Franck Riester","LQDN",4.7534165181224e-05
"2009-04-03","Franck Riester","Michel Thiollière",0.00014336917562724
"2009-04-03","Franck Riester","Muriel Marland-Militello",0.000169312169312169
"2009-04-03","Franck Riester","Nicolas Sarkozy",1.34680134680135e-05
"2009-04-03","Franck Riester","Parti Socialiste",6.39488409272582e-05
"2009-04-03","Franck Riester","Patrick Bloche",4.29414922168545e-05
"2009-04-03","Franck Riester","Philippe Gosselin",0.000444444444444444
"2009-04-03","Franck Riester","Serge Lagauche",0.00074074074074074
"2009-04-03","Frédéric Lefebvre","Jacques Chirac",0.000549639299209893
"2009-04-03","Frédéric Lefebvre","Jacques Legendre",0.00177383592017738
"2009-04-03","Frédéric Lefebvre","Jean Dionis du Séjour",0.0003515710832784
"2009-04-03","Frédéric Lefebvre","Jean-Louis Debré",0.00102695763799743
"2009-04-03","Frédéric Lefebvre","LQDN",0.000104343289422199
"2009-04-03","Frédéric Lefebvre","Michel Thiollière",0.0003147128245476
"2009-04-03","Frédéric Lefebvre","Muriel Marland-Militello",0.000371660859465737
"2009-04-03","Frédéric Lefebvre","Nicolas Sarkozy",2.95639320029565e-05
"2009-04-03","Frédéric Lefebvre","Parti Socialiste",0.000140375504474469
"2009-04-03","Frédéric Lefebvre","Patrick Bloche",9.42618121833393e-05
"2009-04-03","Frédéric Lefebvre","Philippe Gosselin",0.000975609756097561
"2009-04-03","Frédéric Lefebvre","Serge Lagauche",0.0016260162601626
"2009-04-03","Jacques Chirac","Jacques Legendre",0.00512163892445582
"2009-04-03","Jacques Chirac","Jean Dionis du Séjour",0.0010150996066489
"2009-04-03","Jacques Chirac","Jean-Louis Debré",0.00296515937731653
"2009-04-03","Jacques Chirac","LQDN",0.000301272877909166
"2009-04-03","Jacques Chirac","Michel Thiollière",0.000908677873693773
"2009-04-03","Jacques Chirac","Muriel Marland-Militello",0.00107310529845741
"2009-04-03","Jacques Chirac","Nicolas Sarkozy",8.53606487409306e-05
"2009-04-03","Jacques Chirac","Parti Socialiste",0.000405309555172763
"2009-04-03","Jacques Chirac","Patrick Bloche",0.000272164387289923
"2009-04-03","Jacques Chirac","Philippe Gosselin",0.0028169014084507
"2009-04-03","Jacques Chirac","Serge Lagauche",0.00469483568075117
"2009-04-03","Jacques Legendre","Jean Dionis du Séjour",0.00327600327600327
"2009-04-03","Jacques Legendre","Jean-Louis Debré",0.00956937799043062
"2009-04-03","Jacques Legendre","LQDN",0.000972289742343218
"2009-04-03","Jacques Legendre","Michel Thiollière",0.00293255131964809
"2009-04-03","Jacques Legendre","Muriel Marland-Militello",0.00346320346320345
"2009-04-03","Jacques Legendre","Nicolas Sarkozy",0.000275482093663913
"2009-04-03","Jacques Legendre","Parti Socialiste",0.0013080444735121
"2009-04-03","Jacques Legendre","Patrick Bloche",0.000878348704435662
"2009-04-03","Jacques Legendre","Philippe Gosselin",0.00909090909090909
"2009-04-03","Jacques Legendre","Serge Lagauche",0.0151515151515151
"2009-04-03","Jean Dionis du Séjour","Jean-Louis Debré",0.00189663347558084
"2009-04-03","Jean Dionis du Séjour","LQDN",0.000192706075059016
"2009-04-03","Jean Dionis du Séjour","Michel Thiollière",0.000581226387677999
"2009-04-03","Jean Dionis du Séjour","Muriel Marland-Militello",0.000686400686400684
"2009-04-03","Jean Dionis du Séjour","Nicolas Sarkozy",5.46000546000547e-05
"2009-04-03","Jean Dionis du Séjour","Parti Socialiste",0.000259252057813209
"2009-04-03","Jean Dionis du Séjour","Patrick Bloche",0.00017408713060887
"2009-04-03","Jean Dionis du Séjour","Philippe Gosselin",0.0018018018018018
"2009-04-03","Jean Dionis du Séjour","Serge Lagauche",0.003003003003003
"2009-04-03","Jean-Louis Debré","LQDN",0.000562904587672389
"2009-04-03","Jean-Louis Debré","Michel Thiollière",0.00169779286926995
"2009-04-03","Jean-Louis Debré","Muriel Marland-Militello",0.00200501253132832
"2009-04-03","Jean-Louis Debré","Nicolas Sarkozy",0.000159489633173844
"2009-04-03","Jean-Louis Debré","Parti Socialiste",0.000757288905717531
"2009-04-03","Jean-Louis Debré","Patrick Bloche",0.000508517670989067
"2009-04-03","Jean-Louis Debré","Philippe Gosselin",0.00526315789473684
"2009-04-03","Jean-Louis Debré","Serge Lagauche",0.0087719298245614
"2009-04-03","LQDN","Michel Thiollière",0.000172503018802829
"2009-04-03","LQDN","Muriel Marland-Militello",0.000203717850776674
"2009-04-03","LQDN","Nicolas Sarkozy",1.62048290390537e-05
"2009-04-03","LQDN","Parti Socialiste",7.69437925595353e-05
"2009-04-03","LQDN","Patrick Bloche",5.16675708491566e-05
"2009-04-03","LQDN","Philippe Gosselin",0.00053475935828877
"2009-04-03","LQDN","Serge Lagauche",0.00089126559714795
"2009-04-03","Michel Thiollière","Muriel Marland-Militello",0.000614439324116741
"2009-04-03","Michel Thiollière","Nicolas Sarkozy",4.88758553274683e-05
"2009-04-03","Michel Thiollière","Parti Socialiste",0.000232072406590856
"2009-04-03","Michel Thiollière","Patrick Bloche",0.000155836060464391
"2009-04-03","Michel Thiollière","Philippe Gosselin",0.00161290322580645
"2009-04-03","Michel Thiollière","Serge Lagauche",0.00268817204301075
"2009-04-03","Muriel Marland-Militello","Nicolas Sarkozy",5.77200577200578e-05
"2009-04-03","Muriel Marland-Militello","Parti Socialiste",0.00027406646111682
"2009-04-03","Muriel Marland-Militello","Patrick Bloche",0.000184034966643662
"2009-04-03","Muriel Marland-Militello","Philippe Gosselin",0.0019047619047619
"2009-04-03","Muriel Marland-Militello","Serge Lagauche",0.00317460317460317
"2009-04-03","Nicolas Sarkozy","Parti Socialiste",2.18007412252017e-05
"2009-04-03","Nicolas Sarkozy","Patrick Bloche",1.46391450739277e-05
"2009-04-03","Nicolas Sarkozy","Philippe Gosselin",0.000151515151515152
"2009-04-03","Nicolas Sarkozy","Serge Lagauche",0.000252525252525253
"2009-04-03","Parti Socialiste","Patrick Bloche",6.95096097035416e-05
"2009-04-03","Parti Socialiste","Philippe Gosselin",0.000719424460431655
"2009-04-03","Parti Socialiste","Serge Lagauche",0.00119904076738609
"2009-04-03","Patrick Bloche","Philippe Gosselin",0.000483091787439614
"2009-04-03","Patrick Bloche","Serge Lagauche",0.000805152979066023
"2009-04-03","Philippe Gosselin","Serge Lagauche",0.00833333333333333
"2009-04-06","Jacques Attali","Laurent Petitgirard",0.0037037037037037
"2009-04-06","Jacques Attali","SACEM",0.000446229361892012
"2009-04-06","Laurent Petitgirard","SACEM",0.000602409638554217
"2009-04-06","Christine Albanel","SACEM",1.1964441679329e-05
"2009-04-06","Christine Albanel","Sony",4.48835552264095e-05
"2009-04-06","SACEM","Sony",6.80688857123409e-05
"2009-04-06","Christine Albanel","CNIL",1.05363252985073e-05
"2009-04-06","Christine Albanel","IFPI",7.49470686327782e-05
"2009-04-06","Christine Albanel","IPRED",0.000152776716828356
"2009-04-06","Christine Albanel","Laurent Petitgirard",0.000198609731876862
"2009-04-06","Christine Albanel","Parti Pirate",5.02809447789525e-05
"2009-04-06","Christine Albanel","TPB",3.28280548556797e-05
"2009-04-06","CNIL","IFPI",0.000100095090335819
"2009-04-06","CNIL","IPRED",0.0002040399918384
"2009-04-06","CNIL","Laurent Petitgirard",0.00026525198938992
